"","Issue","State","ZIP_code","Count","Latitude","Longitude"
"342","Loan servicing，payments，escrow account","WI",53177,2,42.701,-87.9217
"343","Loan servicing，payments，escrow account","WI",53172,4,42.9112,-87.8608
"344","Loan servicing，payments，escrow account","WI",53170,1,42.5508,-88.1691
"345","Loan servicing，payments，escrow account","WI",53158,3,42.5287,-87.8858
"346","Loan servicing，payments，escrow account","WI",53157,3,42.5329,-88.3676
"347","Loan servicing，payments，escrow account","WI",53154,5,42.8791,-87.8979
"348","Loan servicing，payments，escrow account","WI",53153,1,42.9334,-88.405
"349","Loan servicing，payments，escrow account","WI",53151,4,42.977,-88.1008
"350","Loan servicing，payments，escrow account","WI",53150,10,42.888,-88.1284
"351","Loan servicing，payments，escrow account","WI",53149,2,42.8716,-88.3506
"352","Loan servicing，payments，escrow account","WI",53147,3,42.5689,-88.4409
"353","Loan servicing，payments，escrow account","WI",53144,2,42.6227,-87.9094
"354","Loan servicing，payments，escrow account","WI",53143,4,42.5593,-87.8288
"355","Loan servicing，payments，escrow account","WI",53142,11,42.5602,-87.8715
"356","Loan servicing，payments，escrow account","WI",53140,3,42.6268,-87.8323
"357","Loan servicing，payments，escrow account","WI",53138,1,42.7518,-88.3093
"358","Loan servicing，payments，escrow account","WI",53132,7,42.8988,-88.01
"359","Loan servicing，payments，escrow account","WI",53129,1,42.9389,-87.9981
"360","Loan servicing，payments，escrow account","WI",53128,1,42.5377,-88.3195
"361","Loan servicing，payments，escrow account","WI",53122,3,43.0474,-88.0866
"362","Loan servicing，payments，escrow account","WI",53121,2,42.7094,-88.5332
"363","Loan servicing，payments，escrow account","WI",53119,1,42.88,-88.483
"364","Loan servicing，payments，escrow account","WI",53118,1,42.9801,-88.5076
"365","Loan servicing，payments，escrow account","WI",53115,1,42.6498,-88.6853
"366","Loan servicing，payments，escrow account","WI",53110,4,42.9497,-87.8641
"367","Loan servicing，payments，escrow account","WI",53105,7,42.6453,-88.2579
"368","Loan servicing，payments，escrow account","WI",53098,2,43.2628,-88.6913
"369","Loan servicing，payments，escrow account","WI",53095,4,43.3874,-88.1608
"370","Loan servicing，payments，escrow account","WI",53094,4,43.1339,-88.7089
"371","Loan servicing，payments，escrow account","WI",53092,7,43.2211,-87.9526
"372","Loan servicing，payments，escrow account","WI",53090,3,43.4752,-88.1338
"373","Loan servicing，payments，escrow account","WI",53089,6,43.1488,-88.2389
"374","Loan servicing，payments，escrow account","WI",53086,1,43.3255,-88.2655
"375","Loan servicing，payments，escrow account","WI",53085,1,43.7422,-87.8404
"376","Loan servicing，payments，escrow account","WI",53083,2,43.8264,-87.7821
